"","Yr","DOY","Psy_num","lwp.m","lwp.sd","lwp.n","Temp.m","Temp.sd","ind","tag","treatment","doy.yr","DOY.yr"
"157",2018,203,"PSY8",-0.985726826713211,0.0234550944552459,7,20.1971428571429,0.0460848079502293,8,10954,"control","203-18",2018-07-22
"158",2018,203,"PSY9",-0.715074653385056,0.00561730136544083,7,20.1971428571429,0.0460848079502293,9,600,"mwd","203-18",2018-07-22
"159",2018,204,"PSY1",-0.163010044989521,0.0123845080791207,7,19.6128571428571,0.0495695759225647,1,590,"swd","204-18",2018-07-23
"160",2018,204,"PSY2",-0.399977080858983,0.0303860173738068,7,19.6128571428571,0.0495695759225647,2,592,"mwd","204-18",2018-07-23
"161",2018,204,"PSY3",-0.346170585801001,0.0105761531381481,7,19.6128571428571,0.0495695759225647,3,589,"control","204-18",2018-07-23
"162",2018,204,"PSY4",-2.11087032843263,0.0563875665536449,7,19.6128571428571,0.0495695759225647,4,498,"control","204-18",2018-07-23
"163",2018,204,"PSY5",-2.5845696838493,0.0801628125042471,7,19.6128571428571,0.0495695759225647,5,10999,"mwd","204-18",2018-07-23
"164",2018,204,"PSY6",-1.3126578023058,0.0340984728157545,7,19.6128571428571,0.0495695759225647,6,588,"swd","204-18",2018-07-23
"165",2018,204,"PSY7",-3.6483656872237,0.122002668575259,7,19.6128571428571,0.0495695759225647,7,591,"swd","204-18",2018-07-23
"166",2018,204,"PSY8",-1.53075880913737,0.0584770668150275,7,19.6128571428571,0.0495695759225647,8,10954,"control","204-18",2018-07-23
"167",2018,204,"PSY9",-1.21439963997158,0.054336551943575,7,19.6128571428571,0.0495695759225647,9,600,"mwd","204-18",2018-07-23
"168",2018,205,"PSY1",-4.00697126577172,0.0352513158404271,7,19.75,0.0115470053837933,1,590,"swd","205-18",2018-07-24
"169",2018,205,"PSY2",-0.731567883645277,0.0745394506512095,7,19.75,0.0115470053837933,2,592,"mwd","205-18",2018-07-24
"170",2018,205,"PSY3",-0.841069702904874,0.0234704525583777,7,19.75,0.0115470053837933,3,589,"control","205-18",2018-07-24
